species,seed,snr_db,fusion,auc,auc_det,n_tgt_det,n_dec_det,tgt_rate,decoy_rate,ratio,cov_target,cov_decoy,thr
bcnher,8,9,ver,0.7902777777777777,0.8367794486215538,56,114,0.7833333333333333,0.39166666666666666,0.5,0.9333333333333333,0.95,0.48722956436233816
bcnher,8,6,s1,0.4206944444444444,0.4196937321937322,52,108,0.75,0.8416666666666667,1.1222222222222222,0.8666666666666667,0.9,0.20712192356586456
bcnher,8,6,ver,0.7602777777777778,0.85505698005698,52,108,0.7333333333333333,0.32499999999999996,0.4431818181818182,0.8666666666666667,0.9,0.48722956436233816
bcnher,8,3,s1,0.4263888888888889,0.43950771798080934,47,102,0.6666666666666666,0.7249999999999999,1.0875,0.7833333333333333,0.85,0.20712192356586456
bcnher,8,3,ver,0.6893055555555555,0.8343763037129746,47,102,0.65,0.3416666666666667,0.5256410256410257,0.7833333333333333,0.85,0.48722956436233816
bcnher,8,0,s1,0.35777777777777775,0.3503968253968254,48,105,0.6166666666666667,0.7916666666666667,1.2837837837837838,0.8,0.875,0.20712192356586456
bcnher,8,0,ver,0.7070833333333333,0.8494047619047619,48,105,0.6833333333333333,0.325,0.47560975609756095,0.8,0.875,0.48722956436233816
bcnher,8,-3,s1,0.3775,0.3650278293135436,44,98,0.5166666666666667,0.7166666666666668,1.3870967741935485,0.7333333333333333,0.8166666666666667,0.20712192356586456
bcnher,8,-3,ver,0.6679166666666667,0.8499536178107606,44,98,0.6,0.31666666666666665,0.5277777777777778,0.7333333333333333,0.8166666666666667,0.48722956436233816
bcnher,8,-6,s1,0.3759722222222222,0.375975975975976,37,90,0.3333333333333333,0.5666666666666667,1.7,0.6166666666666667,0.75,0.20712192356586456
bcnher,8,-6,ver,0.5923611111111111,0.8438438438438438,37,90,0.5166666666666667,0.26666666666666666,0.5161290322580645,0.6166666666666667,0.75,0.48722956436233816
barswa,7,9,s1,0.5738888888888889,0.5753739930955121,44,79,0.6166666666666667,0.525,0.8513513513513513,0.7333333333333333,0.6583333333333333,0.3462931513786316
barswa,7,9,ver,0.7279166666666667,0.8944188722669736,44,79,0.65,0.20833333333333331,0.3205128205128205,0.7333333333333333,0.6583333333333333,0.4871388058367978
barswa,7,6,s1,0.5752083333333333,0.5224981558888616,49,83,0.65,0.5333333333333333,0.8205128205128205,0.8166666666666667,0.6916666666666667,0.3462931513786316
barswa,7,6,ver,0.7865972222222222,0.8967297762478486,49,83,0.7166666666666667,0.21666666666666667,0.3023255813953488,0.8166666666666667,0.6916666666666667,0.4871388058367978
barswa,7,3,s1,0.5808333333333333,0.5208695652173913,46,75,0.6333333333333333,0.4916666666666667,0.7763157894736843,0.7666666666666667,0.625,0.3462931513786316
barswa,7,3,ver,0.7513888888888889,0.8768115942028986,46,75,0.65,0.19166666666666665,0.2948717948717948,0.7666666666666667,0.625,0.4871388058367978
barswa,7,0,s1,0.5102777777777778,0.4881136950904393,45,86,0.5,0.5333333333333333,1.0666666666666667,0.75,0.7166666666666667,0.3462931513786316
barswa,7,0,ver,0.7201388888888889,0.8785529715762274,45,86,0.6166666666666667,0.22500000000000003,0.3648648648648649,0.75,0.7166666666666667,0.4871388058367978
barswa,7,-3,s1,0.4845833333333333,0.4685374149659864,42,84,0.43333333333333335,0.4666666666666667,1.0769230769230769,0.7,0.7,0.3462931513786316
barswa,7,-3,ver,0.6616666666666666,0.8299319727891157,42,84,0.5333333333333333,0.2,0.375,0.7,0.7,0.4871388058367978
