stereotypy,spectral_centroid_hz,spectral_bandwidth_hz,call_duration_s,decoy_sim_top1,decoy_sim_mean,species,n_recordings,n_shot,shot_strategy,n_heldout_calls,clf_train_acc,perch_version,perch_embed_dim,perch_peak_norm,perch_backend,verifier,encoder_seed,fusion,feature,n_seeds,use_timefilter,use_hard_neg,ap,f1,p,r,fptp,auc,ratio,fa_per_hr,fa_per_hr_r90,ap_sd,f1_sd,p_sd,r_sd,fptp_sd,auc_sd,ratio_sd,fa_per_hr_sd,fa_per_hr_r90_sd
0.26757004857063293,3465.9763420267827,1804.7749307756699,0.12665154950869237,0.4190371632575989,0.3738867938518524,whbsho3,22,5,rated,17,0.9016393442622951,v2,1536,0.25,tf,logreg,1,sqrt(p) * v,pcen,3,False,False,0.5233309260572471,0.582066003293006,0.6029791851632633,0.5638888888888889,0.5555555555555556,0.5015740740740741,1.03531613314222,97.5,218.0,0.02971575944821425,0.04051221419838837,0.05614099748559239,0.0375770812735241,0.1512295287646244,0.022539545722999293,0.14432279445109505,38.97114317029974,58.52563540876767
0.26757004857063293,3465.9763420267827,1804.7749307756699,0.12665154950869237,0.4190371632575989,0.3738867938518524,whbsho3,22,5,rated,17,0.9016393442622951,v2,1536,0.25,tf,logreg,1,geo mean sqrt(p*v),pcen,3,False,False,0.5151520838066599,0.5789316170555109,0.6050362844702467,0.5583333333333333,0.5777777777777778,0.483287037037037,1.0829448329448328,97.5,215.0,0.028656873630172885,0.041955579674811214,0.08015250088527738,0.028867513459481253,0.15396007178390017,0.02410846012905507,0.1273737790842585,31.5,56.331607468631674
0.26757004857063293,3465.9763420267827,1804.7749307756699,0.12665154950869237,0.4190371632575989,0.3738867938518524,whbsho3,22,5,rated,17,0.9016393442622951,v2,1536,0.25,tf,logreg,2,stage-1 only  (p),pcen,3,False,False,0.5185419288871391,0.5778901392108938,0.6503994112689765,0.5222222222222223,0.5222222222222223,0.48,0.9878818117241147,62.0,228.0,0.037343230583523276,0.030690986418856057,0.06093475945096797,0.033678765702728146,0.21103799903580645,0.015889884389948424,0.03271944295598566,37.41991448413532,24.69311644973149
0.26757004857063293,3465.9763420267827,1804.7749307756699,0.12665154950869237,0.4190371632575989,0.3738867938518524,whbsho3,22,5,rated,17,0.9016393442622951,v2,1536,0.25,tf,logreg,2,perch only    (v),pcen,3,False,False,0.5365800198326196,0.6340753816481972,0.7888093818326376,0.5305555555555556,0.26666666666666666,0.696574074074074,0.3783937965430075,8.0,227.5,0.052008574587784386,0.05094306098671332,0.05260099354251036,0.05091750772173154,0.23333333333333334,0.057449376086753136,0.04319425144526013,7.399324293474371,23.059705115200412
0.26757004857063293,3465.9763420267827,1804.7749307756699,0.12665154950869237,0.4190371632575989,0.3738867938518524,whbsho3,22,5,rated,17,0.9016393442622951,v2,1536,0.25,tf,logreg,2,p * v,pcen,3,False,False,0.528809743689211,0.5873765200388519,0.6329369594285628,0.561111111111111,0.5,0.5065277777777778,1.006677363820221,74.5,227.5,0.03929582360445494,0.03829478077715516,0.11798314266933735,0.06472877887628357,0.2204792759220492,0.020587906224675927,0.08604930632607463,42.7521929262114,25.64663720646432
0.26757004857063293,3465.9763420267827,1804.7749307756699,0.12665154950869237,0.4190371632575989,0.3738867938518524,whbsho3,22,5,rated,17,0.9016393442622951,v2,1536,0.25,tf,logreg,2,p * sqrt(v),pcen,3,False,False,0.5239510074806363,0.5840128540172315,0.6465343448202314,0.5333333333333333,0.5277777777777778,0.4948148148148148,0.9586976501870118,64.0,228.0,0.03824235293584501,0.0316032070911432,0.05519355639980431,0.022047927592204947,0.2143033502442879,0.017489708908254423,0.05485581856129515,29.33001875212493,26.02402735934621
0.26757004857063293,3465.9763420267827,1804.7749307756699,0.12665154950869237,0.4190371632575989,0.3738867938518524,whbsho3,22,5,rated,17,0.9016393442622951,v2,1536,0.25,tf,logreg,2,sqrt(p) * v,pcen,3,False,False,0.5373068382377001,0.5966924199682819,0.6641980559245363,0.5555555555555555,0.48333333333333334,0.5281018518518519,0.9712662842914944,65.0,227.0,0.038133004964788136,0.03858933057058113,0.12218291658848728,0.0718473175354309,0.21278575558006174,0.02608240640486057,0.0713764177261595,45.80120085761944,25.293279739883477
0.26757004857063293,3465.9763420267827,1804.7749307756699,0.12665154950869237,0.4190371632575989,0.3738867938518524,whbsho3,22,5,rated,17,0.9016393442622951,v2,1536,0.25,tf,logreg,2,geo mean sqrt(p*v),pcen,3,False,False,0.528809743689211,0.5873765200388519,0.6329369594285628,0.561111111111111,0.5,0.5065277777777778,1.006677363820221,74.5,227.5,0.03929582360445494,0.03829478077715516,0.11798314266933735,0.06472877887628357,0.2204792759220492,0.020587906224675927,0.08604930632607463,42.7521929262114,25.64663720646432
0.4619135558605194,2474.7290605305925,2289.74786461993,0.06186848072562357,0.4867986738681793,0.4568309932947159,bcnher,500,5,rated,495,0.8934426229508197,v2,1536,0.25,tf,logreg,0,stage-1 only  (p),pcen,3,False,False,0.6623781085528049,0.6942092710195739,0.7850478528048622,0.625,0.17222222222222225,0.48902777777777784,1.0313382921063252,42.5,252.0,0.09664636759466651,0.06713143395884724,0.1209815134903932,0.04166666666666663,0.22750661366048078,0.08940076141720107,0.1779354402278614,29.33001875212493,107.44649831427732
0.4619135558605194,2474.7290605305925,2289.74786461993,0.06186848072562357,0.4867986738681793,0.4568309932947159,bcnher,500,5,rated,495,0.8934426229508197,v2,1536,0.25,tf,logreg,0,perch only    (v),pcen,3,False,False,0.6588496018594846,0.7500880448261432,0.829486987205926,0.6888888888888888,0.16111111111111112,0.7489351851851852,0.647123719464145,4.0,252.0,0.10684116776700774,0.09456880964055668,0.05734743851948731,0.12972549365372904,0.07515416254704824,0.012653634052417881,0.1610250734771196,5.678908345800274,103.18430113151904
0.4619135558605194,2474.7290605305925,2289.74786461993,0.06186848072562357,0.4867986738681793,0.4568309932947159,bcnher,500,5,rated,495,0.8934426229508197,v2,1536,0.25,tf,logreg,0,p * v,pcen,3,False,False,0.6858367607854919,0.7063112962306511,0.8259146180280202,0.6222222222222222,0.09999999999999999,0.5527314814814814,1.0128968253968254,30.0,252.5,0.10743282038920542,0.0628154024866498,0.13887945005722557,0.04589642122738421,0.1301708279317776,0.08295636186122814,0.18162891752424226,16.5,108.2947367142097
0.4619135558605194,2474.7290605305925,2289.74786461993,0.06186848072562357,0.4867986738681793,0.4568309932947159,bcnher,500,5,rated,495,0.8934426229508197,v2,1536,0.25,tf,logreg,0,p * sqrt(v),pcen,3,False,False,0.6772433989162577,0.7023349899284129,0.8243149946062568,0.6166666666666667,0.12222222222222222,0.5264351851851852,1.0450589369115575,32.0,251.5,0.10658122677080789,0.06455692391252524,0.14041155387261553,0.04409585518440981,0.16859989894992794,0.08628391412916171,0.21324836660205096,20.47559522944327,106.59854595631218
0.4619135558605194,2474.7290605305925,2289.74786461993,0.06186848072562357,0.4867986738681793,0.4568309932947159,bcnher,500,5,rated,495,0.8934426229508197,v2,1536,0.25,tf,logreg,0,sqrt(p) * v,pcen,3,False,False,0.6996191414231155,0.7284617532104969,0.8123996856126418,0.6694444444444444,0.06111111111111111,0.5914814814814814,0.9809215904868078,34.0,252.5,0.11365558545829922,0.05575487554684966,0.11046439897250195,0.09141379262169075,0.09179284245476835,0.0750111017160689,0.18394138208964064,17.89553016817328,108.2947367142097
0.4619135558605194,2474.7290605305925,2289.74786461993,0.06186848072562357,0.4867986738681793,0.4568309932947159,bcnher,500,5,rated,495,0.8934426229508197,v2,1536,0.25,tf,logreg,0,geo mean sqrt(p*v),pcen,3,False,False,0.6858367607854919,0.7063112962306511,0.8259146180280202,0.6222222222222222,0.09999999999999999,0.5527314814814814,1.0128968253968254,30.0,252.5,0.10743282038920542,0.0628154024866498,0.13887945005722557,0.04589642122738421,0.1301708279317776,0.08295636186122814,0.18162891752424226,16.5,108.2947367142097
0.4619135558605194,2474.7290605305925,2289.74786461993,0.06186848072562357,0.4867986738681793,0.4568309932947159,bcnher,500,5,rated,495,0.8934426229508197,v2,1536,0.25,tf,logreg,1,stage-1 only  (p),pcen,3,False,False,0.6196930461942081,0.6706219595134654,0.7260235089828356,0.6277777777777779,0.20555555555555557,0.5058333333333334,1.005008865248227,50.5,281.5,0.02399360976402704,0.03296897373284607,0.06720969358860733,0.055486067653994976,0.09179284245476836,0.11477902061148139,0.21608475169856148,38.48701079585163,155.33753570853375
0.4619135558605194,2474.7290605305925,2289.74786461993,0.06186848072562357,0.4867986738681793,0.4568309932947159,bcnher,500,5,rated,495,0.8934426229508197,v2,1536,0.25,tf,logreg,1,perch only    (v),pcen,3,False,False,0.6182076309451855,0.7261944874686376,0.8134010680402769,0.6611111111111111,0.18888888888888888,0.7585648148148149,0.4455518641565153,1.0,279.0,0.013541723001109103,0.034203665160924684,0.03569451650811063,0.07920320794101807,0.06938886664887109,0.012331881275048565,0.17642531864498445,1.7320508075688772,151.27706369440148
0.4619135558605194,2474.7290605305925,2289.74786461993,0.06186848072562357,0.4867986738681793,0.4568309932947159,bcnher,500,5,rated,495,0.8934426229508197,v2,1536,0.25,tf,logreg,1,p * v,pcen,3,False,False,0.6510860078624552,0.7002327334303917,0.8045177045177044,0.6222222222222222,0.1277777777777778,0.5718055555555556,0.9796209081923367,33.5,281.5,0.04201585090222167,0.0263086853323821,0.06764203504563736,0.03367876570272816,0.08388704928078611,0.10550531059274508,0.19780301175006473,24.43358344574123,155.33753570853375
